company,description,archetype,industry,link
"AIVA","AIVA (Artificial Intelligence Virtual Artist) is a virtual composer that creates original classical music for films, commercials, and games. It was the first virtual composer to be recognized by a music rights organization.",Creative,Media,https://www.aiva.ai/
"Amazon (Rufus)","A virtual assistant named Rufus, trained on Amazon's product catalog and customer reviews, to answer customer questions, compare products, and provide personalized recommendations.",Customer,Retail,https://www.aboutamazon.com/news/retail/rufus-amazon-generative-ai-shopping-assistant
"Stitch Fix","Uses a generative AI-powered tool called the Outfit Creation Model to generate personalized outfit suggestions based on available inventory and a customer's style preferences and purchase history.",Creative,Retail,https://www.stitchfix.com/
"Sephora (Virtual Artist)","The 'Virtual Artist' app uses facial recognition and generative AI to let customers try on makeup products digitally.",Customer,Retail,https://www.sephora.com/
"IKEA (Place)","The 'Place' app allows customers to visualize how furniture will look and fit in their own homes using augmented reality and AI, which has been shown to reduce return rates.",Customer,Retail,https://www.ikea.com/
"Carrefour (Hopla)","A ChatGPT-based intelligent assistant called Hopla to answer customer queries about products, availability, and store policies.",Customer,Retail,https://www.carrefour.com/
"BMW (In-Car AI Assistant - China)","Partnership with Alibaba to integrate the Tongyi AI foundational model into BMW's Neue Klasse vehicles produced in China, creating a custom AI-powered personal assistant for the local market, expected by 2026.",Customer,Manufacturing,https://www.press.bmwgroup.com/china/
"Tesla","Employing generative AI to create synthetic data and simulate complex edge-case scenarios for training and enhancing its Full Self-Driving (FSD) software, aiming to improve system robustness and accelerate development.",Data,Manufacturing,https://www.tesla.com/AI
"Defense Logistics Agency (DLA)","Implementing AI for demand planning and supply chain risk management, using over 55 models. Developing customized chatbot applications and virtual agents for acquisition business systems to improve efficiency.",Data,Manufacturing,https://www.dla.mil/About-DLA/News/News-Article-View/Article/4122004/
"Defense Logistics Agency (DLA - Fraud Detection)","Using an AI tool to automate the identification of vendors that could potentially supply counterfeit or overpriced items by analyzing supplier behaviors, past performance, and fraudulent activity patterns.",Security,Manufacturing,https://www.dla.mil/About-DLA/News/
"Rivian","Using Google Workspace with Gemini for improving employee productivity, including document summarization and internal communication drafting.",Employee,Manufacturing,https://rivian.com/newsroom
"Nuro","Designing and operating autonomous vehicles for local goods delivery, leveraging generative AI for scenario generation in simulations and for optimizing the design of its custom-built delivery robots.",Data,Manufacturing,https://www.nuro.ai/
"Trimble (Logistics)","Provides solutions for transportation and logistics, using generative AI for optimizing fleet routing, predictive asset maintenance, and generating insights from telematics data to improve operational efficiency.",Data,Manufacturing,https://transportation.trimble.com/
"NVIDIA DRIVE Sim","A simulation platform built on NVIDIA Omniverse for testing and validating autonomous vehicles. It uses generative AI to create diverse and realistic scenarios, sensor models, and environments for robust AV development.",Data,Manufacturing,https://developer.nvidia.com/drive/simulation
"ING Bank (INGo)","INGo, an AI-driven correspondence banking assistant, provides customers with instant information on banking products, facilitates transactions, processes credit card applications, offers foreign exchange rates, and connects to live support when needed.",Customer,Finance,https://www.ing.com.tr/en/ing/digital-banking/ingo
"CBOT.ai (for Banking)","Provides a conversational AI platform, including generative AI capabilities (CBOT GPT, CBOT LLM), for banks to deploy intelligent virtual assistants for customer service, enhancing customer experience and automating interactions.",Customer,Finance,https://www.cbot.ai/industries/banking
"JPMorgan Chase (Enterprise GenAI Toolkit)","Deployed a GenAI toolkit to over 200,000 employees, with more than half using it multiple times a day for various tasks, aiming to democratize AI access and improve operational efficiencies, fraud prevention, and credit decisions.",Employee,Finance,https://www.jpmorganchase.com/technology/artificial-intelligence
"Goldman Sachs","Implemented generative AI tools for its 12,000 coders, reporting significant efficiency gains, estimated around 20%, in software development and related tasks.",Code,Finance,https://www.goldmansachs.com/media-relations/press-releases/
"Klarna","Deployed a generative AI-based customer service agent powered by OpenAI, capable of handling the workload equivalent of 700 human support agents, providing 24/7 assistance across 23 markets with faster resolution times. (Note: Strategy evolving to re-integrate human empathy for complex issues).",Customer,Finance,https://www.klarna.com/us/customer-service/
"Fundwell","Utilizes Google Cloud AI to streamline the funding process for businesses by analyzing financial health data and matching companies with tailored funding opportunities, thereby accelerating access to capital.",Data,Finance,https://www.fundwell.com/
"Vouched","Offers an AI-driven digital identity verification platform for Know Your Customer (KYC) and Anti-Money Laundering (AML) compliance, secure customer onboarding, and fraud mitigation in financial services and healthcare sectors.",Security,Finance,https://www.vouched.id/
"Ric (Insurtech)","A parametric insurance startup using AI and catastrophe modeling to develop and offer coverage for specific, measurable events like rainfall and flood, aiming for quicker and more transparent claims.",Data,Finance,https://www.ric.insure/
"FinQuery (formerly LeaseQuery)","Fintech company leveraging Gemini for Google Workspace to enhance team collaboration, automate email drafts, and assist in project management for its lease accounting software solutions.",Employee,Finance,https://finquery.com/
"ATB Financial","Deployed Google Workspace with Gemini to its 5,000+ team members to automate routine tasks, enable quick information access, and improve collaboration, while ensuring data security for the Canadian financial institution.",Employee,Finance,https://www.atb.com/company/news/
"Discover Financial Services","Deployed GenAI assistants for both customers (e.g., query resolution, personalized offers) and employees (e.g., internal knowledge search, task automation) to improve service delivery and internal workflows.",Customer,Finance,https://investor.discover.com/news-and-events/press-releases/
"BNP Paribas (with Mistral AI)","Leveraging Mistral AI models across global markets, sales operations, and customer support functions to enhance decision-making, personalize client interactions, and improve operational efficiency.",Data,Finance,https://group.bnpparibas/en/news
"AXA (with Mistral AI)","Empowering its 140,000+ employees with secure AI capabilities from Mistral AI for text generation, document analysis, and summarization to improve productivity and internal knowledge sharing.",Employee,Finance,https://www.axa.com/en/newsroom
"Standard Chartered (with Fortanix)","Early adopter of Fortanix Armet AI, built on Intel Confidential Computing, to securely build custom GenAI applications, mitigating data leakage risks and ensuring compliance for sensitive financial data.",Security,Finance,https://www.sc.com/en/media/press-releases/
"S&P Global","Partnering with Accenture to enable customers and employees to harness generative AI for enhanced data analysis, insight generation from financial datasets, and streamlining research workflows.",Data,Finance,https://www.spglobal.com/en/news-insights/press-releases
"American Express","Leveraging NVIDIA DGX and TensorRT technologies to power an ultra-low-latency system for detecting fraud in credit card transactions, using AI to analyze patterns and identify suspicious activities.",Security,Finance,https://about.americanexpress.com/newsroom/press-releases/default.aspx
"Stripe","Integrating generative AI to help businesses optimize their online checkout experiences, generate product descriptions, and provide AI-powered support for merchants using its payment platform.",Customer,Finance,https://stripe.com/newsroom
"Square (Block)","Leveraging generative AI to provide sellers with tools for creating marketing campaigns, analyzing sales data for insights, and offering AI-powered customer support features within its ecosystem.",Creative,Finance,https://squareup.com/us/en/press
"Vanguard","Partnering with Writer.com to use its full-stack generative AI platform for boosting productivity by combining employee expertise with AI for content creation and other tasks.",Employee,Finance,https://pressroom.vanguard.com/news/
"Brex","Financial technology company offering business credit cards and cash management accounts, using AI for underwriting, expense management automation, and providing financial insights to startups and growing businesses.",Data,Finance,https://www.brex.com/journal
"Mayo Clinic (Digital Pathology)","Collaborating with NVIDIA and Aignostics to advance digital pathology, using AI models to analyze large datasets of pathology images for improved disease detection and prediction.",Data,Healthcare,https://newsnetwork.mayoclinic.org/discussion/mayo-clinic-launches-mayo-clinic-digital-pathology-to-modernize-pathology-speed-medical-breakthroughs/
"Genial Care","Provides a platform using generative AI (including Google Vertex AI) for personalized autism care. The system monitors therapy sessions with children and families, synthesizes session records, improves record quality, tracks each child's progress, and shares this information with providers and families via an app.",Data,Healthcare,https://www.genialcare.com.br/
"Hippocratic AI","Developing safety-focused Large Language Models (LLMs) specifically for healthcare, creating generative AI healthcare agents designed to improve healthcare accessibility and outcomes by providing deep healthcare expertise.",Customer,Healthcare,https://www.hippocraticai.com/
"Recursion Pharmaceuticals","An AI-enabled drug discovery and development company using its Recursion OS platform, which integrates physical experimentation with in silico analysis on 65 petabytes of proprietary biological and chemical data, powered by its BioHive-2 supercomputer (built with NVIDIA).",Data,Healthcare,https://www.recursion.com/
"RxRx.ai (by Recursion)","A hub for Recursion's public datasets, tools (like MapApp™ for exploring biological/chemical relationships), and research using data generated from the Recursion OS, aimed at advancing machine learning research in drug discovery.",Data,Healthcare,https://www.rxrx.ai/
"SOPHiA GENETICS","Offers the SOPHiA DDM™ platform, an AI-driven, cloud-powered system that analyzes multimodal health data (genomics, radiomics) to help clinicians generate real-time, actionable insights for patients with cancer and rare disorders.",Data,Healthcare,https://www.sophiagenetics.com/
"Suki AI","Provides Suki Assistant, an AI voice solution for healthcare that ambiently listens to patient-clinician conversations to automatically generate clinical documentation, recommend codes, stage prescription orders, and answer clinical questions, integrating with EHRs and using Google Cloud Vertex AI.",Employee,Healthcare,https://www.suki.ai/
"Rad AI","Offers Rad AI Reporting, a generative AI software for radiology that creates comprehensive and accurate reports from dictated findings, reducing dictation times by up to 50% and words by up to 90%, and automatically inserting consensus guideline recommendations.",Employee,Healthcare,https://www.radai.com/
"PathAI","Develops AI-powered pathology tools to advance drug and diagnostic development. Its AISight™ digital pathology image management system is a cloud-native workflow solution for laboratories and research centers.",Data,Healthcare,https://www.pathai.com/
"Pfizer","Leveraging AWS GenAI tools (Anthropic's Claude 2.1 via Amazon Bedrock) for accelerated drug development, enabling natural language search across vast research datasets (cutting search time by 80%). Also uses Amazon SageMaker and Lookout for AI-driven manufacturing anomaly detection.",Data,Healthcare,https://www.pfizer.com/science/research-development/artificial-intelligence
"Roche (Diagnostics)","Received FDA breakthrough designation for Ventana TROP2 RxDx Device, an AI-powered computational pathology system for non-small cell lung cancer, combining immunohistochemistry with AI analysis of whole-slide images using AstraZeneca's QCS algorithm.",Data,Healthcare,https://diagnostics.roche.com/global/en/products/instruments/ventana-dp-200-slide-scanner.html
"Roche (Gene Therapy)","Partnering with Dyno Therapeutics to apply AI to the design and optimization of AAV (Adeno-Associated Virus) capsids for next-generation gene therapies.",Creative,Healthcare,https://www.roche.com/research_and_development/partnering/areas-of-interest/gene-therapy
"GE HealthCare (Autonomous Imaging)","Collaborating with NVIDIA to develop AI-driven autonomous X-ray and ultrasound systems, using the NVIDIA Isaac for Healthcare platform for simulation, training, and validation of autonomous imaging capabilities.",Data,Healthcare,https://www.gehealthcare.com/insights/article/ge-healthcare-and-nvidia-reimagine-diagnostic-imaging
"GE HealthCare (Foundation Model)","Developed SonoSAMTrack, a healthcare-specific research foundation model trained on ~200,000 image-mask pairs for image segmentation, using NVIDIA technology.",Data,Healthcare,https://www.gehealthcare.com/products/ultrasound/ai-software
"Amgen","Utilizing NVIDIA BioNeMo and DGX Cloud to build and train large language models for medical research and generative AI models for designing small molecules in drug discovery.",Data,Healthcare,https://www.amgen.com/newsroom
"Well Health Technologies (WELL AI Inbox Admin)","WELL AI Inbox Admin is an AI-powered solution for streamlining clinic inbox management by automating the handling of e-faxes and documents, extracting patient information, and routing it to provider inboxes.",Employee,Healthcare,https://well.company/well-ai-inbox-admin/
"Infinitus Systems","Provides voice AI agents and copilots to automate complex healthcare calls, including benefit verification with payors, prior authorization processes, patient welcome calls, medication adherence check-ins, and provider directory confirmations.",Customer,Healthcare,https://www.infinitus.ai/
"Mendel.ai","Offers the Hypercube platform integrating LLMs with structured clinical ontologies for clinical data abstraction, OCR of medical records (Retina), PHI de-identification (Redact), clinical search, and trial matching.",Data,Healthcare,https://www.mendel.ai/
"Nayya","An AI-powered platform that helps employees navigate and optimize their health and wealth benefits. It provides personalized recommendations for health plans, automates medical claim audits, simplifies leave of absence processes, and integrates insights for retirement planning.",Customer,Healthcare,https://www.nayya.com/
"Eko Health","Develops FDA-cleared AI algorithms integrated into its digital stethoscopes (e.g., CORE 500™) for early detection of cardiac conditions like atrial fibrillation (AFib) and heart murmurs during routine physical exams.",Customer,Healthcare,https://www.ekohealth.com/
"CodaMetrix","Provides an AI-powered autonomous medical coding platform that automates the conversion of clinical documentation into accurate medical codes for billing and revenue cycle management, reducing manual coding by 60-70% and coding denials.",Employee,Healthcare,https://www.codametrix.com/
"Cherish Health","Develops intelligent radar-based sensor platforms (e.g., Cherish Serenity) that use AI for ambient health and safety monitoring, particularly for aging in place, detecting falls, and monitoring well-being without cameras or wearables that need constant interaction.",Data,Healthcare,https://www.cherishhealth.com/
"Intelligencia AI","Leverages AI to de-risk and enhance clinical development by providing probability of success (PTRS/PoS) assessments for drugs, identifying underlying risk drivers, and optimizing clinical trial design.",Data,Healthcare,https://www.intelligencia.ai/
"sikka.ai (Dental)","Offers an AI platform for dental practices (Sikka Prime®, Optimizer™) providing tools for patient insurance eligibility verification, payment processing options, real-time metrics tracking, and identifying areas for practice optimization.",Employee,Healthcare,https://sikka.ai/Dental
"Dyno Therapeutics","A genetic technologies company applying AI (frontier AI with high-throughput experimentation) to design and optimize AAV (Adeno-Associated Virus) capsids for improved in vivo gene delivery, partnering with major pharma companies like Roche and Sarepta.",Creative,Healthcare,https://www.dynotx.com/
"Proscia","Provides the Concentriq® enterprise pathology platform, an open digital system enabling AI in pathology. It supports building, accessing, and deploying AI solutions for precision medicine, including AI-based biomarkers and diagnostics.",Data,Healthcare,https://proscia.com/
"SafelyYou","Offers AI-powered fall detection and prevention solutions for senior living communities (SafelyYou Respond™). Uses AI-enabled sensors and video review to identify root causes of falls and improve resident safety, also providing remote wellness checks (Aware™) and care tracking (Clarity™).",Data,Healthcare,https://www.safely-you.com/
"SignalPET","Provides AI-powered veterinary radiology software that offers rapid X-ray interpretation assistance to veterinarians, aiming to improve diagnostic accuracy and efficiency in animal care.",Customer,Healthcare,https://www.signalpet.com/
"Sirona Medical","Building a radiology operating system (RadOS) designed to unify disparate radiology IT systems (PACS, RIS, AI) into a single, cloud-native platform, simplifying workflows and enabling better integration of AI diagnostic tools.",Employee,Healthcare,https://sironamedical.com/
"Regard (by Elion Health)","An AI clinical co-pilot that integrates with Electronic Health Records (EHRs) to analyze patient data, recommend diagnoses (acute and chronic), generate care plans, and automate clinical documentation, aiming to reduce cognitive load on clinicians.",Employee,Healthcare,https://elion.health/products/regard
"Pison Technology","Develops neural sensing technology using electroneurography (ENG) and AI to translate biosignals from the brain into machine-interpretable events. Applications include mental chronometry (reaction time), health monitoring (sleep analytics, impairment biomarkers), and gesture control, with research into neurological disorder detection (ALS, Parkinson's).",Data,Healthcare,https://pison.com/
"Pathos AI","A company focused on AI-driven drug development, particularly in oncology. Associated with clinical trials for drugs like Milademetan in combination with other therapies for specific cancer types.",Data,Healthcare,https://www.pathos.com/
"Alife Health","Provides an AI-powered ecosystem of products for IVF clinics designed to optimize fertility treatments. Applications include Stim Assist (optimizing ovarian stimulation), Embryo Assist (standardizing embryo grading), and Success Predictor.",Data,Healthcare,https://www.alifehealth.com/
"Subtle Medical","Develops AI-powered software solutions (SubtleHD™, SubtlePET™, SubtleGAD™, SubtleSYNTH™, SubtleALIGN™) to enhance medical imaging (MRI, PET) by improving image quality, enabling significantly faster scan times, and reducing the need for contrast agents or gadolinium.",Data,Healthcare,https://subtlemedical.com/
"Sorcero","Provides AI-powered solutions for the life sciences industry, including Medical Affairs Intelligence (Instant Insights Engine for answering complex medical questions) and AI-powered literature monitoring for rapidly detecting critical safety signals.",Data,Healthcare,https://www.sorcero.com/
"Openwater","Developing open-source medical imaging and therapeutic ultrasound technology. Open-Motion 3.0 uses near-infrared light and holographic detection for blood flow/oxygenation measurement. Open-LIFU 2.0 is a platform for low-intensity focused ultrasound therapy research.",Customer,Healthcare,https://www.openwater.cc/
"Plenful","An AI-powered workflow automation platform for pharmacy operations, addressing tasks such as prior authorization processing (aiming for 4x throughput increase), 340B claims auditing, and order/referral data entry.",Employee,Healthcare,https://www.plenful.com/
"ImpriMed","Offers an AI-driven personalized medicine service for veterinary oncology, specifically for dogs with lymphoma or leukemia. It tests live cancer cells against various chemo drugs and uses AI to predict treatment efficacy.",Data,Healthcare,https://www.imprimedicine.com/
"XpertDox","Provides XpertCoding, an AI-powered autonomous medical coding engine that uses NLP and big data analytics to code medical claims with high accuracy and speed, aiming to identify missing CPT codes and reduce manual coding tasks by over 90%.",Employee,Healthcare,https://www.xpertdox.com/
"AI Proteins","A company focused on re-imagining protein-based medicines by designing novel miniproteins from scratch using a proprietary platform that combines synthetic biology, robotics, automation, and AI. Advancing a pipeline in oncology and exploring partnerships in other areas.",Creative,Healthcare,https://aiproteins.bio/
"Deepcell","Develops the REM-I platform, which combines label-free imaging, deep learning, and gentle cell sorting to leverage single-cell morphology as a high-dimensional quantitative readout for research and diagnostics. Collaborates with NVIDIA for GenAI in single-cell research.",Data,Healthcare,https://deepcell.com/
"SimpleTherapy","A digital musculoskeletal (MSK) healthcare solution providing virtual care from prevention to surgical rehabilitation. It blends real-time AI with a clinical care team to deliver personalized MSK exercise therapy programs.",Customer,Healthcare,https://simpletherapy.com/
"CarePredict","Offers an AI-powered remote monitoring system for senior living, using the Tempo™ wearable and context beacons to detect activities (eating, bathing, sleeping) and predict health risks like falls (reduced by 69%) and UTIs, enabling early intervention.",Data,Healthcare,https://www.carepredict.com/
"Biovista","Utilizes its COSS™ AI platform for systematic drug repositioning, finding new therapeutic uses for existing drugs by generating robust Mechanism-of-Action rationales and evaluating opportunities based on IP and FTO potential.",Data,Healthcare,https://www.biovista.com/
"Eyebot","Provides 90-second AI-powered vision tests and eyewear prescriptions via self-serve kiosks, aiming to make vision care more accessible. Partners with eyewear brands like Zenni Optical.",Customer,Healthcare,https://www.eyebot.co/
"Ryght AI","A real-time generative AI healthcare technology company focused on the clinical research industry. Its platform automates tasks like site identification, feasibility and selection, budget negotiations, patient referrals, and trial compliance for research sites, sponsors, and CROs.",Employee,Healthcare,https://www.ryght.ai/
"Model Medicines","Employs the GALILEO™ AI Drug Discovery Platform, which uses multimodal data (3D protein structures, biochemical data) to generate 'constellations' and identify novel drug candidates from deep chemical space for novel biology.",Data,Healthcare,https://modelmedicines.com/
"Aizon","Provides an end-to-end SaaS GxP (Good Practice) solution for pharmaceutical manufacturing, using Big Data, IoT, and AI to turn paper-based decisions into data-driven, real-time optimizations for digitization, data unification, and AI industrialization.",Data,Healthcare,https://www.aizon.ai/
"NVIDIA BioNeMo","A generative AI platform for drug discovery, offering models for protein structure prediction (ESMFold), generative chemistry (MolMIM), and molecular docking prediction (DiffDock), enabling researchers to accelerate various stages of therapeutic development.",Creative,Healthcare,https://www.nvidia.com/en-us/clara/bionemo/
"Dartmouth College (Therabot)","Researchers developed Therabot, a generative AI-powered therapy chatbot, which in its first clinical trial demonstrated significant improvements in participants' mental health symptoms, showing potential for accessible mental health support.",Customer,Healthcare,https://home.dartmouth.edu/news/2025/03/first-therapy-chatbot-trial-yields-mental-health-benefits
"Tempus","A technology company advancing precision medicine through the practical application of artificial intelligence in healthcare. Its platform analyzes clinical and molecular data to personalize cancer care and other treatments.",Data,Healthcare,https://www.tempus.com/
"Honeywell (Field Process Knowledge System - PKS)","Deployed the Field Process Knowledge System (PKS), which uses generative AI to provide field technicians and operators with instant access to documents, procedures, and critical information on their devices, enhancing efficiency and safety in industrial settings.",Employee,Manufacturing,https://process.honeywell.com/us/en/solutions/industrial-ai-solutions
"Honeywell (TrackWise Digital)","Offers TrackWise Digital, an AI-enabled quality management solution that leverages natural language processing and machine learning for enhanced signal detection, operational efficiency, and employee productivity, particularly in life sciences manufacturing.",Data,Manufacturing,https://www.honeywell.com/us/en/products-services/software-and-apps/enterprise-performance-management/trackwise-digital
"AES Corporation (Maximo Robot)","Developed and deployed Maximo, an AI-powered robot that automates the heavy lifting and precise installation of solar panels. Maximo uses generative AI, computer vision, and advanced robotics to install panels faster, more safely, and at a lower cost than traditional methods.",Customer,Manufacturing,https://www.aes.com/maximo
"AES Corporation (Grid & Energy Management)","Applying AI for risk-based maintenance in utilities (e.g., vegetation management), anomaly and trend detection in renewables asset performance, and developing predictive analytics tools for renewable energy generation forecasting to support market decisions.",Data,Manufacturing,https://www.aes.com/solutions/advanced-energy-networks
"Enpal","Partnered with Google Cloud (and dida, a Google Cloud partner) to develop a custom AI solution that automates the solar panel quotation generation process, reducing the time taken from 120 minutes to just 15 minutes, thereby increasing sales efficiency.",Employee,Manufacturing,https://www.enpal.de/
